id,brand,name,city,gu,address,gasoline,diesel,self,car_wash,charging_station,car_maintenance,convenience_store,24_hours,lat,lng
208,S-OIL,용강주유소,서울,마포구,서울 마포구 토정로 258,1775,1725,0,0,0,0,0,0,37.54301600000000,126.93881280000000
209,SK에너지,(주)만성상사 대흥주유소,서울,마포구,서울 마포구 대흥로 61 (대흥동),1785,1735,0,1,0,0,0,1,37.54595480000000,126.93989910000000
210,현대오일뱅크,에스에스오토셀프,서울,마포구,서울 마포구 서강로 76 (창전동),1785,1735,1,1,0,0,0,1,37.54983370000000,126.93257240000000
211,SK에너지,SK에너지(주) 안국주유소,서울,마포구,서울 마포구 양화로 33,1814,1749,0,0,0,0,0,1,37.54930640000000,126.91262170000000
212,SK에너지,SK에너지 양지주유소,서울,마포구,서울 마포구 마포대로 69 (도화동),1814,1754,0,0,0,0,1,1,37.53770020000000,126.94640300000000
213,현대오일뱅크,(주)창원이엔지 홍제지점,서울,서대문구,서울 서대문구 통일로 455 (홍제동),1689,1639,0,0,0,0,0,0,37.58916320000000,126.94959840000000
214,현대오일뱅크,(주)가재울뉴타운주유소,서울,서대문구,서울 서대문구 모래내로 205,1690,1642,1,0,0,0,1,1,37.57326730000000,126.92243180000000
215,S-OIL,(주)미래아스팔트 신우주유소,서울,서대문구,서울 서대문구 가좌로 106(홍은동),1690,1642,1,1,0,1,0,0,37.58226560000000,126.92660010000000
216,S-OIL,(주)한화미 구도일주유소 두꺼비,서울,서대문구,서울 서대문구 성산로 312,1692,1642,1,1,0,1,0,0,37.56604510000000,126.92490550000000
217,GS칼텍스,남정주유소,서울,서대문구,서울 서대문구 모래내로 243 (남가좌동),1698,1648,0,0,0,0,0,0,37.57562180000000,126.91944170000000
218,현대오일뱅크,HD현대오일뱅크㈜직영 연세주유소,서울,서대문구,서울 서대문구 연희로 184,1699,1639,1,1,0,0,0,0,37.57346110000000,126.93591900000000
219,GS칼텍스,지에스칼텍스(주)홍제동주유소,서울,서대문구,서울 서대문구 통일로 372,1709,1659,1,1,0,0,0,0,37.58354950000000,126.95013180000000
220,현대오일뱅크,HD현대오일뱅크㈜직영 독립문주유소,서울,서대문구,서울 서대문구 통일로 384 (홍제동),1719,1649,0,1,0,0,1,0,37.59317619999999,126.94673130000000
221,SK에너지,중앙에너비스 동교지점,서울,서대문구,서울 서대문구 연희로 12 (창천동),1725,1635,1,0,0,0,1,0,37.55870150000000,126.93421390000000
222,SK에너지,(주)안국에너지 삼보셀프주유소,서울,서대문구,서울 서대문구 연희로 78 (연희동),1728,1658,1,1,0,1,0,0,37.56500070000000,126.92993050000000
223,SK에너지,삼미상사(주)서부주유소,서울,서대문구,서울 서대문구 성산로 255,1732,1655,1,1,0,1,1,0,37.56758950000000,126.91884730000000
224,SK에너지,행촌제2주유소,서울,서대문구,서울 서대문구 성산로 490 (대신동),1732,1665,1,1,0,0,1,1,37.56421990000000,126.94430960000000
225,SK에너지,광호주유소,서울,서대문구,서울 서대문구 연희로 266 (홍은동),1738,1668,0,1,0,0,0,0,37.58068540000000,126.93646340000000
226,SK에너지,연희주유소,서울,서대문구,서울 서대문구 연희로 129 (연희동 89-7번지),1738,1668,0,1,0,0,1,0,37.56928600000000,126.93253130000000
227,S-OIL,㈜우남에너지 문화사랑주유소,서울,서대문구,서울 서대문구 세검정로 87 (홍제동),1739,1699,1,1,0,0,0,0,37.59551500000000,126.94855110000000
228,알뜰주유소,만남의광장주유소,서울,서초구,서울 서초구 양재대로12길 73-71,1634,1584,1,0,1,0,1,1,37.46008370000000,127.04216860000000
229,SK에너지,(주)대농석유 남태령주유소,서울,서초구,서울 서초구 과천대로 838 (방배동),1715,1665,1,1,0,0,0,0,37.46689580000000,126.98783190000000
230,S-OIL,양재최고주유소,서울,서초구,서울 서초구 매헌로 72 (양재동),1735,1665,0,1,0,0,0,0,37.46715770000000,127.03471500000000
231,S-OIL,서초하이웨이 주유소,서울,서초구,서울 서초구 양재대로2길 100-30,1737,1667,1,1,0,0,0,1,37.45729520000000,127.01621410000000
